Stock,Date,Actual,Predicted
GOOGL,717,81.66595458984375,80.93037254333495
GOOGL,356,54.91011428833008,55.06185092926025
GOOGL,1020,134.97816467285156,135.2261297607422
GOOGL,1735,175.09280395507812,174.8164389038086
GOOGL,656,74.35669708251953,75.12347366333007
GOOGL,307,61.34300994873047,61.16907299041748
GOOGL,1363,121.9485855102539,123.17964797973633
GOOGL,1677,160.75108337402344,161.47179428100586
GOOGL,1239,100.23267364501952,97.94184188842773
GOOGL,782,103.44439697265624,103.29893714904784
GOOGL,1286,98.62482452392578,99.62419746398926
GOOGL,534,75.10205078125,75.32760551452637
GOOGL,1108,105.17532348632812,102.73816970825196
GOOGL,1805,171.67764282226562,172.8342254638672
GOOGL,615,72.68579864501953,72.78833938598633
GOOGL,122,56.53682327270508,56.24702735900879
GOOGL,1358,121.64092254638672,122.42757125854492
GOOGL,1319,100.2723617553711,100.20559173583985
GOOGL,622,70.69783020019531,71.36046585083008
GOOGL,1877,173.05194091796875,175.14163803100587
GOOGL,1857,163.52841186523438,165.67533401489257
GOOGL,137,60.19915390014648,59.34608299255371
GOOGL,1801,169.61570739746094,168.1468276977539
GOOGL,376,53.73400115966797,53.43785270690918
GOOGL,318,60.11825942993164,60.42024726867676
GOOGL,1573,153.40093994140625,152.72036499023437
GOOGL,256,53.39258193969727,53.081572952270506
GOOGL,466,64.08776092529297,63.91245262145996
GOOGL,908,135.8862762451172,135.69403244018554
GOOGL,111,56.21078872680664,56.53508270263672
GOOGL,784,103.54166412353516,102.99837715148925
GOOGL,938,137.9904022216797,138.24776092529297
GOOGL,1342,106.39608764648438,106.30571746826172
GOOGL,241,53.27446746826172,53.63237815856934
GOOGL,1233,94.88308715820312,95.98705101013184
GOOGL,1831,156.70724487304688,154.9379621887207
GOOGL,980,148.71484375,147.4655140686035
GOOGL,214,53.17274856567383,53.58731586456299
GOOGL,815,100.47732543945312,100.46875396728515
GOOGL,831,113.09598541259766,112.92386726379395
GOOGL,779,102.1720199584961,101.31013793945313
GOOGL,418,58.24739837646485,58.05166358947754
GOOGL,353,56.550724029541016,57.01016693115234
GOOGL,1424,130.02752685546875,129.92800109863282
